nohup: ignoring input
cuda
Mean: tensor([0.5820, 0.4493, 0.4435])
Std: tensor([0.1842, 0.1701, 0.1715])
Epoch [1/500], Training Loss: 1.9472, Training Accuracy: 14.06%, Validation Accuracy: 11.64%
Epoch [2/500], Training Loss: 1.9343, Training Accuracy: 19.62%, Validation Accuracy: 11.64%
Epoch [3/500], Training Loss: 1.9204, Training Accuracy: 24.01%, Validation Accuracy: 11.64%
Epoch [4/500], Training Loss: 1.9071, Training Accuracy: 25.04%, Validation Accuracy: 15.75%
Epoch [5/500], Training Loss: 1.8992, Training Accuracy: 23.72%, Validation Accuracy: 16.44%
Epoch [6/500], Training Loss: 1.8821, Training Accuracy: 24.60%, Validation Accuracy: 21.92%
Epoch [7/500], Training Loss: 1.8707, Training Accuracy: 24.60%, Validation Accuracy: 28.08%
Epoch [8/500], Training Loss: 1.8550, Training Accuracy: 30.89%, Validation Accuracy: 27.40%
Epoch [9/500], Training Loss: 1.8374, Training Accuracy: 27.53%, Validation Accuracy: 28.77%
Epoch [10/500], Training Loss: 1.8133, Training Accuracy: 29.58%, Validation Accuracy: 30.14%
Epoch [11/500], Training Loss: 1.8005, Training Accuracy: 31.92%, Validation Accuracy: 32.19%
Epoch [12/500], Training Loss: 1.7650, Training Accuracy: 33.97%, Validation Accuracy: 32.19%
Epoch [13/500], Training Loss: 1.7255, Training Accuracy: 35.29%, Validation Accuracy: 42.47%
Epoch [14/500], Training Loss: 1.6950, Training Accuracy: 35.87%, Validation Accuracy: 34.93%
Epoch [15/500], Training Loss: 1.6560, Training Accuracy: 37.92%, Validation Accuracy: 40.41%
Epoch [16/500], Training Loss: 1.6148, Training Accuracy: 41.00%, Validation Accuracy: 42.47%
Epoch [17/500], Training Loss: 1.5631, Training Accuracy: 42.31%, Validation Accuracy: 49.32%
Epoch [18/500], Training Loss: 1.5275, Training Accuracy: 45.24%, Validation Accuracy: 42.47%
Epoch [19/500], Training Loss: 1.4963, Training Accuracy: 44.66%, Validation Accuracy: 55.48%
Epoch [20/500], Training Loss: 1.4413, Training Accuracy: 47.00%, Validation Accuracy: 47.95%
Epoch [21/500], Training Loss: 1.4179, Training Accuracy: 47.58%, Validation Accuracy: 58.22%
Epoch [22/500], Training Loss: 1.3998, Training Accuracy: 49.34%, Validation Accuracy: 58.90%
Epoch [23/500], Training Loss: 1.3766, Training Accuracy: 48.32%, Validation Accuracy: 57.53%
Epoch [24/500], Training Loss: 1.3014, Training Accuracy: 52.27%, Validation Accuracy: 58.90%
Epoch [25/500], Training Loss: 1.2794, Training Accuracy: 54.47%, Validation Accuracy: 56.16%
Epoch [26/500], Training Loss: 1.2493, Training Accuracy: 53.73%, Validation Accuracy: 57.53%
Epoch [27/500], Training Loss: 1.2091, Training Accuracy: 55.64%, Validation Accuracy: 63.70%
Epoch [28/500], Training Loss: 1.2027, Training Accuracy: 56.22%, Validation Accuracy: 65.07%
Epoch [29/500], Training Loss: 1.1496, Training Accuracy: 58.27%, Validation Accuracy: 65.75%
Epoch [30/500], Training Loss: 1.1356, Training Accuracy: 57.25%, Validation Accuracy: 60.96%
Epoch [31/500], Training Loss: 1.1064, Training Accuracy: 59.15%, Validation Accuracy: 60.27%
Epoch [32/500], Training Loss: 1.0914, Training Accuracy: 57.98%, Validation Accuracy: 67.81%
