nohup: ignoring input
/home/tanguy/5A/MLChallenge/venvMLChallenge/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
cuda
Mean: tensor([0.5652, 0.4507, 0.4434])
Std: tensor([0.2005, 0.1882, 0.1902])
Epoch [1/800], Training Loss: 2.0814, Training Accuracy: 15.08%, Validation Accuracy: 10.27%
Epoch [2/800], Training Loss: 1.9798, Training Accuracy: 16.69%, Validation Accuracy: 10.27%
Epoch [3/800], Training Loss: 1.9634, Training Accuracy: 14.93%, Validation Accuracy: 19.18%
Epoch [4/800], Training Loss: 1.9463, Training Accuracy: 16.40%, Validation Accuracy: 11.64%
Epoch [5/800], Training Loss: 1.9294, Training Accuracy: 18.01%, Validation Accuracy: 16.44%
Epoch [6/800], Training Loss: 1.9387, Training Accuracy: 16.69%, Validation Accuracy: 19.86%
Epoch [7/800], Training Loss: 1.9198, Training Accuracy: 20.79%, Validation Accuracy: 20.55%
Epoch [8/800], Training Loss: 1.9179, Training Accuracy: 19.62%, Validation Accuracy: 15.75%
Epoch [9/800], Training Loss: 1.8905, Training Accuracy: 22.84%, Validation Accuracy: 23.29%
Epoch [10/800], Training Loss: 1.8783, Training Accuracy: 23.72%, Validation Accuracy: 24.66%
Epoch [11/800], Training Loss: 1.8155, Training Accuracy: 29.28%, Validation Accuracy: 28.77%
Epoch [12/800], Training Loss: 1.7681, Training Accuracy: 28.70%, Validation Accuracy: 28.08%
Epoch [13/800], Training Loss: 1.7152, Training Accuracy: 29.14%, Validation Accuracy: 34.93%
Epoch [14/800], Training Loss: 1.6681, Training Accuracy: 34.26%, Validation Accuracy: 40.41%
Epoch [15/800], Training Loss: 1.6071, Training Accuracy: 36.60%, Validation Accuracy: 52.74%
Epoch [16/800], Training Loss: 1.5462, Training Accuracy: 39.82%, Validation Accuracy: 54.11%
Epoch [17/800], Training Loss: 1.4705, Training Accuracy: 40.26%, Validation Accuracy: 55.48%
Epoch [18/800], Training Loss: 1.4274, Training Accuracy: 43.05%, Validation Accuracy: 54.79%
Epoch [19/800], Training Loss: 1.3617, Training Accuracy: 45.97%, Validation Accuracy: 60.96%
Epoch [20/800], Training Loss: 1.3417, Training Accuracy: 47.14%, Validation Accuracy: 59.59%
Epoch [21/800], Training Loss: 1.2669, Training Accuracy: 51.68%, Validation Accuracy: 59.59%
Epoch [22/800], Training Loss: 1.2028, Training Accuracy: 50.22%, Validation Accuracy: 60.96%
Epoch [23/800], Training Loss: 1.2198, Training Accuracy: 51.39%, Validation Accuracy: 57.53%
Epoch [24/800], Training Loss: 1.1599, Training Accuracy: 54.03%, Validation Accuracy: 61.64%
Epoch [25/800], Training Loss: 1.1810, Training Accuracy: 56.37%, Validation Accuracy: 63.01%
Epoch [26/800], Training Loss: 1.1430, Training Accuracy: 53.29%, Validation Accuracy: 59.59%
Epoch [27/800], Training Loss: 1.1258, Training Accuracy: 56.81%, Validation Accuracy: 63.01%
Epoch [28/800], Training Loss: 1.1151, Training Accuracy: 56.52%, Validation Accuracy: 62.33%
Epoch [29/800], Training Loss: 1.0667, Training Accuracy: 57.83%, Validation Accuracy: 64.38%
Epoch [30/800], Training Loss: 1.0295, Training Accuracy: 60.18%, Validation Accuracy: 66.44%
Epoch [31/800], Training Loss: 0.9550, Training Accuracy: 62.23%, Validation Accuracy: 62.33%
Epoch [32/800], Training Loss: 0.9901, Training Accuracy: 62.23%, Validation Accuracy: 63.70%
Epoch [33/800], Training Loss: 0.9551, Training Accuracy: 63.69%, Validation Accuracy: 61.64%
Epoch [34/800], Training Loss: 0.9583, Training Accuracy: 63.69%, Validation Accuracy: 67.81%
Epoch [35/800], Training Loss: 0.9446, Training Accuracy: 62.37%, Validation Accuracy: 64.38%
Epoch [36/800], Training Loss: 0.9083, Training Accuracy: 66.76%, Validation Accuracy: 65.07%
Epoch [37/800], Training Loss: 0.8784, Training Accuracy: 67.35%, Validation Accuracy: 62.33%
Epoch [38/800], Training Loss: 0.9559, Training Accuracy: 61.79%, Validation Accuracy: 67.12%
Epoch [39/800], Training Loss: 0.8718, Training Accuracy: 66.91%, Validation Accuracy: 63.70%
Epoch [40/800], Training Loss: 0.8769, Training Accuracy: 66.03%, Validation Accuracy: 65.07%
Epoch [41/800], Training Loss: 0.9099, Training Accuracy: 64.86%, Validation Accuracy: 63.01%
Epoch [42/800], Training Loss: 0.8841, Training Accuracy: 67.94%, Validation Accuracy: 63.01%
Epoch [43/800], Training Loss: 0.8966, Training Accuracy: 66.47%, Validation Accuracy: 67.81%
Epoch [44/800], Training Loss: 0.8277, Training Accuracy: 70.72%, Validation Accuracy: 67.81%
Epoch [45/800], Training Loss: 0.8473, Training Accuracy: 67.35%, Validation Accuracy: 64.38%
Epoch [46/800], Training Loss: 0.8087, Training Accuracy: 69.25%, Validation Accuracy: 64.38%
